Title,Link
3.1.7 Estimation - Introduction,"https://youtu.be/M2LcSgMOgLo ,https://www.youtube.com/watch?v=bCR4jLuiSlA ,"
3.1.8 Types of Estimation,"https://youtu.be/5g97AjIE2pQ ,https://www.youtube.com/watch?v=_BiVb6neUP0 ,"
3.1.9 Using z Statistic for estimating population mean,"https://youtu.be/dt62-Uwyogs ,https://www.youtube.com/watch?v=5NcMFlrnYp8 ,"
3.1.10 Confidence interval,"https://youtu.be/6YNZZdee5ls ,https://www.youtube.com/watch?v=tFWsuO9f74o ,"
3.1.11 Estimating population mean using t Statistic,"https://youtu.be/bK66iOry5mA ,https://www.youtube.com/watch?v=adnUfMk5pqg ,"
3.1.12 Confidence interval estimation for population proportion,"https://youtu.be/pBl9_mdowgY ,https://www.youtube.com/watch?v=3ReWri_jh3M ,"
Industry Example,"https://youtu.be/Z0_NlRLPyR4 ,"
Case Study,"https://youtu.be/AfSDYJZTn_w ,"
Industry Example,"https://youtu.be/Z0_NlRLPyR4 ,"
Case Study,"https://youtu.be/AfSDYJZTn_w ,"
4.1.1 Hypothesis Testing - Introduction,"https://youtu.be/ozB5DG6HM08 ,https://www.youtube.com/watch?v=DlwOTOydeyk ,"
4.1.2 Developing null and alternate hypothesis,"https://youtu.be/kERna1u_mcU ,https://www.youtube.com/watch?v=wiYJWyfdGg4 ,"
4.1.3 Type I error and Type II error,"https://youtu.be/rLZc-wuUlqE ,https://www.youtube.com/watch?v=a_l991xUAOU ,"
4.1.4 Level of Significance and Critical Region,"https://youtu.be/HsQ1CXlodVk ,https://www.youtube.com/watch?v=ia32vrSU1FM ,"
4.1.5 Standard Error,"https://youtu.be/5pWtqDZ_DDE ,https://www.youtube.com/watch?v=BwYj69LAQOI ,"
4.1.6 Confidence Interval,"https://youtu.be/G_Qx4JUny1Y ,https://www.youtube.com/watch?v=tFWsuO9f74o&amp;t=31s ,"
4.2.1 For single population mean using t-statistic,"https://youtu.be/uijVZB6Ny5Q ,https://www.youtube.com/watch?v=voP0OrYEoqQ ,"
4.2.2 For single population mean using z-statistic,"https://youtu.be/SIxA1RB0C3A ,https://www.youtube.com/watch?v=2GU_R7G5m-8 ,"
4.2.3 Hypothesis testing for population proportion,"https://youtu.be/bn89BLGJMWM ,https://www.youtube.com/watch?v=5LFhu0vGzkI ,"
4.3.1 Inference about the difference between two population means,"https://youtu.be/R1Uac9JNXDw ,https://www.youtube.com/watch?v=86ss6qOTfts&amp;t=25s ,"
4.3.2 Inference about the difference between two population proportions,"https://youtu.be/bqToOh1eXNk ,https://www.youtube.com/watch?v=g0at6LpYvHc ,"
4.3.3 Independent samples and Matched Samples,"https://youtu.be/rDtYaqC90fs ,https://www.youtube.com/watch?v=byLVMnk9QuY ,"
4.3.4 Inference about the ratio of two population variances,"https://youtu.be/uYqhm2jX05Q ,https://www.youtube.com/watch?v=kEnPOogexVY ,"
4.4.1 Analysis of Variance,"https://youtu.be/YXopruvzf7Q ,https://www.youtube.com/watch?v=QUQ6YppWCeg ,"
"4.5.1 Chi-squared goodness of fit test for mean, and test of independence","https://youtu.be/IRu53UCrphc ,https://www.youtube.com/watch?v=2QeDRsxSF9M ,"
Industry Example,"https://youtu.be/Z0_NlRLPyR4 ,"
Case Study,"https://youtu.be/AfSDYJZTn_w ,"
Case Study (Using MS Excel),"https://youtu.be/2NwCzc3Rn3E ,"
Industry experience (Using MS Excel),"https://www.youtube.com/watch?v=bsn2jrUdUEM&amp;feature=youtu.be ,"
5.1.1 Measures of Linear Relationship: covariance & correlation - Intro,"https://youtu.be/YB67l-s5-t4 ,https://www.youtube.com/watch?v=FLUfWUkbyUQ ,"
5.1.2 Measuring relationship covariance,"https://youtu.be/y3tT3IgJOSY ,https://www.youtube.com/watch?v=DXj1b28_RdY ,"
5.1.3 Measuring relationship pearson R,"https://youtu.be/G--4PAlwb_M ,https://www.youtube.com/watch?v=lVOzlHx_15s&amp;t=3s ,"
5.1.4 Covariance and Correlation - Application in real life,"https://youtu.be/AiDSNygOl7o ,"
5.1.5 Types of Correlation,"https://youtu.be/FVe-6dc6EKo ,https://www.youtube.com/watch?v=267rXc8350Q ,"
5.1.6 Karl Pearson’s Coefficient of Correlation - Introduction,"https://youtu.be/80N1zMS6pWk ,https://www.youtube.com/watch?v=rWsiBmA_8Q4 ,"
5.1.7 Spearman Rank Correlation Method - Introduction,"https://www.youtube.com/watch?v=gFqHZqWojrc&amp;feature=youtu.be ,https://www.youtube.com/watch?v=pFzNaxJIpiU ,"
5.1.8 Coefficient of Correlation - Karl Pearson and Spearman rank correlation application/Industry Example,"https://youtu.be/2vqxmNJ8zfU ,"
5.1.9 Regression Model,"https://youtu.be/zrVGvPnEaqs ,https://www.youtube.com/watch?v=owI7zxCqNY0&amp;t=1s ,"
5.1.10 Part-1 Least Square Method,"https://youtu.be/Lo3x6mpRiTg ,https://www.youtube.com/watch?v=P8hT5nDai6A&amp;t=2s ,"
5.1.10 Part-2 Curve fitting,"https://youtu.be/Xl8BP9R8wrg ,https://www.youtube.com/watch?v=tl5QNhSe0Yk ,"
5.1.11 Assessing the Model (Analysis and Interpretation of Excel Output only),"https://youtu.be/mXhaGfsPs5U ,"
5.1.12 Standard Error of Estimate,"https://youtu.be/KVqk2LusXNk ,https://www.youtube.com/watch?v=ruWN4eMP-vA ,"
5.1.13 Coefficient of determination,"https://youtu.be/3YGBkPQzYSY ,https://www.youtube.com/watch?v=lng4ZgConCM&amp;t=1s ,"
5.2.1 Part 1 - Time Series - Intro,"https://youtu.be/bJsyb17QPgw ,https://www.youtube.com/watch?v=GUq_tO2BjaU ,"
5.2.1 Part 2 - Time Series - Intro,"https://youtu.be/zFjpPFDNG30 ,https://www.youtube.com/watch?v=p0InfbNRyl0 ,"
5.2.1 Part 3 - Time Series - Intro,"https://youtu.be/cQgbTQzxdQI ,https://www.youtube.com/watch?v=bhjg0TZssI8 ,"
5.2.2 Secular Trend and it measurement,"https://youtu.be/hcDyAFq9Fn8 ,https://www.youtube.com/watch?v=3zH5GKyYB-w ,"
5.2.3 Seasonal Variation and its measurement,"https://youtu.be/OTFetf9_WK4 ,https://www.youtube.com/watch?v=4hrMdu9CSQs ,"
5.2.4 Cyclical and Irregular variation and its measurement,"https://youtu.be/0h4MLLAgwQ4 ,https://www.youtube.com/watch?v=rPrJ7sSbTqM ,"
5.2.5 Numerical application of trend analysis only,"https://youtu.be/Nz-XkrmDk3M ,https://www.youtube.com/watch?v=GW7nzZXbMfU ,"
Case Study,"https://youtu.be/AfSDYJZTn_w ,"
Case Study,"https://youtu.be/8lUWEzUDyBg ,"
Syllabus,
1.1_Defining Marketing for the New Reality,"https://youtu.be/LwYfo_ogt_0 ,"
1.2_The Value and Scope of Marketing,"https://youtu.be/nx_hAdkisrQ ,https://www.youtube.com/watch?v=hX-X4SndI2w ,"
"2.1 Needs, Wants and Demands","https://youtu.be/e3z3P6Xag2s ,https://www.youtube.com/watch?v=Okczqyr5TII ,"
"2.2_Segmentation,Target Markets, and Positioning","https://youtu.be/SRWw8Fnvqj4 ,https://www.youtube.com/watch?v=jBa108ybzmg ,"
2.3_Offerings and Brands / Marketing Channels,"https://youtu.be/hFcRRzwwUbE ,https://www.youtube.com/watch?v=uaGotppPsCs ,"
"2.4_Paid, Owned, and Earned Media /Impressions and Engagement","https://youtu.be/HcyP1GpDqBo ,https://www.youtube.com/watch?v=0RiPrhAbPDc ,"
2.5_Value and Satisfaction /Supply Chain,"https://youtu.be/wv9nr_BNXYk ,https://www.youtube.com/watch?v=XK3cNcuvuMs ,"
2.6_Competition /Marketing Environment,"https://youtu.be/z1kyRezTlE8 ,https://www.youtube.com/watch?v=Jf5v-s8n7bY ,"
3.1_Marketing and Customer value,"https://youtu.be/c3E8F179l-8 ,https://www.youtube.com/watch?v=cvt6ELswxHc ,"
3.2_The Value Delivery Process,"https://youtu.be/FgA17ZYDjgs ,https://www.youtube.com/watch?v=KnAVgP2YjYE ,"
3.3_The Value Chain,"https://youtu.be/AjAIgsqUJvU ,https://www.youtube.com/watch?v=g8p2H7EvoGM ,"
3.4_Core Competencies,"https://youtu.be/sn1eSTw-LSA ,https://www.youtube.com/watch?v=Abl6b71H2Mc ,"
4.1_Philosophies of Marketing Management,"https://youtu.be/iYJLSnrD0EQ ,https://www.youtube.com/watch?v=SrmnMOh7ejY ,"
5.1_Marketing and Selling,"https://youtu.be/fXRIHigtwMA ,https://www.youtube.com/watch?v=OqcTwveJmRU ,"
5.2_Importance of Selling,"https://youtu.be/yhmGWKVt9vA ,https://www.youtube.com/watch?v=cFdCzN7RYbw ,"
6.1_Relationship marketing,"https://youtu.be/0BLB0AZtH1c ,https://www.youtube.com/watch?v=x0MyTasxvp4 ,"
7.1_Social marketing,"https://youtu.be/5E1161XRiTA ,https://www.youtube.com/watch?v=K1_GXyvIWQY ,"
8.1_Strategy versus Tactics,"https://youtu.be/Oaq5XC_8a0s ,https://www.youtube.com/watch?v=rbu1GGjI0Io ,"
8.2_Levels of Strategic Planning,"https://youtu.be/XwDnC0-dQT4 ,https://www.youtube.com/watch?v=l9N_g5kIeE8 ,"
8.3_Strategic Planning Process,"https://youtu.be/UD1UbqZlmMY ,https://www.youtube.com/watch?v=jVRIWeZP52k ,"
8.4_SWOT Analysis,"https://youtu.be/CFVMTvUiU3U ,https://www.youtube.com/watch?v=Za3FVNBn6Q4&amp;list=PLftmziinjwVTnSI2mo3PTMH6VdwP63j3S&amp;index=4 ,"
8.5_Boston Consulting Group (BCG) matrix,"https://youtu.be/QAuXnrNR2Ok ,https://www.youtube.com/watch?v=JrQfcVoNXvA&amp;list=PLftmziinjwVTnSI2mo3PTMH6VdwP63j3S ,"
8.6_Marketing Process,"https://youtu.be/jM0ev3OvJmw ,https://www.youtube.com/watch?v=Wwm4Z0pjCPI ,"
9.1_ Marketing strategy formulation,"https://youtu.be/U_GGVQwWO0Q ,https://www.youtube.com/watch?v=Zyvqi69ZyLY ,"
9.2_ Marketing Plan,"https://youtu.be/Q6JBzF1terg ,https://www.youtube.com/watch?v=ND0cB_J9vE8 ,"
Module I_Case Study_Happy Parts Company,"https://www.youtube.com/watch?v=k_QmUE7T2Ao ,"
1.1_What Is Consumer Behavior in Marketing?,"https://youtu.be/y1vVBrdhJqA ,https://www.youtube.com/watch?v=gtfPU6nTa9k ,"
1.2_Importance of Consumer Behavior,"https://youtu.be/6Zi8zGSq464 ,https://www.youtube.com/watch?v=PSLpdM6EYTQ ,"
1.3_Types of consumer behavior(Henry Assael Model),"https://youtu.be/wy5QFxMCMBs ,https://www.youtube.com/watch?v=8oBLD5zEMlU ,"
2.1_The factors influencing consumer behavior,"https://youtu.be/oVtX_ZLDPL4 ,https://www.youtube.com/watch?v=2QlZ_EM_u1I ,"
2.2_Types of Buying Decision Behavior,"https://youtu.be/HhAIC68gF7I ,https://www.youtube.com/watch?v=0nGPpVbHYJQ ,"
2.3_Buying decision making process,"https://youtu.be/50fTgRtxjqA ,https://www.youtube.com/watch?v=QV9hNGCuYe0 ,"
2.4_Buying Decision Process for New Products,"https://youtu.be/Yvcpo5BshkE ,https://www.youtube.com/watch?v=3CpApLhJ-34 ,"
2.5_Buying Motives,"https://youtu.be/OFZrU67ky-Q ,https://www.youtube.com/watch?v=CpM_7Llnej8 ,"
2.6_Major Factors Influencing Consumer Behavior-1,"https://youtu.be/24-n2jwPev8 ,"
2.7_Major Factors Influencing Consumer Behavior-2,"https://youtu.be/gSmRpWJrfC0 ,"
2.8_Cultural factors,"https://youtu.be/JNrCK2OZvnY ,"
2.9_Personal Factors,"https://youtu.be/IBVaMTC45s0 ,"
2.10_Economic Factors,"https://youtu.be/0ub1WQIhm4M ,"
2.11_Stages of Consumer Adoption Process Product,"https://youtu.be/O3ko5H6_m2c ,"
3.1_Concept of Market Segmentation,"https://youtu.be/HScm3biJ5VE ,"
3.2_Characteristics of Market Segmentation,"https://youtu.be/plo_bRSQpzk ,"
3.3_Benefits of Market Segmentation,"https://youtu.be/kSblFHZedVY ,"
3.4_Market Segmentation Process,"https://youtu.be/FdSHBjkgZ7o ,"
3.5_Bases of Market Segmentation,"https://youtu.be/HNB0aeyI4kc ,"
4.1_Requisites of Effective Market Segmentation,"https://youtu.be/wQg0TV-PY0M ,"
5.1_What is Targeting in Marketing?,"https://youtu.be/lfiveCwLViM ,"
5.2_Why is Targeting in Marketing So Important?,"https://youtu.be/-8oTKP9-ptg ,"
5.3_How to Identify Target Market Opportunities,"https://youtu.be/BK0e3IUrlOg ,"
5.4_How to Use Target Marketing to Improve Your Strategy,"https://youtu.be/iprP0P51t3U ,"
5.5_Targeting Customers in the Digital Age,"https://youtu.be/8KAL5SDqqDc ,"
6.1_Market Positioning,"https://youtu.be/5Oc6lVry5lQ ,"
6.2_Elements of Positioning,"https://youtu.be/ZWQI8uQeH3I ,"
Module II_Case Study_Rubber Ducky Pools,"https://youtu.be/8oyRK954d0o ,"
3.1.1_Products and services,"https://www.youtube.com/watch?v=euuY6tkOpgg ,"
3.1.2_Difference between product and services,"https://www.youtube.com/watch?v=TIL1wtxfOQ4 ,"
3.2.1_Classification of Products,"https://www.youtube.com/watch?v=oeGJLs3EEGk ,"
3.2.2_Classification of Products in Marketing - Consumer Products,"https://www.youtube.com/watch?v=2kK217xwrWM ,"
3.3.1_New product development,"https://www.youtube.com/watch?v=0V3BOib4OBI ,https://www.youtube.com/watch?v=3CpApLhJ-34 ,"
3.3.2_Need of New product development,"https://www.youtube.com/watch?v=iOVJYv5HxNU ,"
3.3.3_ Stages of New Product Development,"https://www.youtube.com/watch?v=OIadwL3m-90 ,"
3.3.4_Approaches to strategically developing new products,"https://youtu.be/c4KXnBA7rNo ,"
3.4.1_Product Packaging,"https://youtu.be/rB4YgLLydIc ,https://www.youtube.com/watch?v=i2pnLrsMtPs&amp;list=PLvDdvz8B_JZs2YKctTrqTbrJlv7yv9Gvh&amp;index=12 ,"
3.4.2_The purposes of packaging,"https://youtu.be/ZsoLBej5v6M ,"
3.4.3_Types of Packaging,"https://youtu.be/vJOgU2UHnXI ,"
3.4.4_Labeling,"https://youtu.be/1PjLtgkRrHM ,"
3.4.5_Importance of Labeling,"https://youtu.be/DhPWAWx3unM ,"
3.5.1_Product Mix,"https://youtu.be/1Ab1Kk-SJD0 ,https://www.youtube.com/watch?v=3o0EHOktiaw&amp;list=PLvDdvz8B_JZs2YKctTrqTbrJlv7yv9Gvh&amp;index=3 ,"
3.5.2_Product Mix Decisions,"https://youtu.be/o4UYIOhrJVA ,"
4.1.1_Pricing in Marketing,"https://youtu.be/EnADlNQe7Eo ,https://www.youtube.com/watch?v=vpRFgi2HqQ0 ,"
4.1.2_Factors Influencing Pricing,"https://youtu.be/FCKikzJ-D7g ,"
4.1.3_Importance of Pricing,"https://youtu.be/L4qADqlkWRs ,"
4.2.1_Pricing policy,"https://youtu.be/vzkTqlsw4qM ,"
4.2.2_Types of Pricing,"https://youtu.be/DCGf-kdr2CQ ,"
4.2.3_Skimming pricing,"https://youtu.be/YhbSj0GA40k ,https://www.youtube.com/watch?v=g98eOPnQlkk&amp;list=PLp8BSCLLWBUCTDvRtruUQE7Auli3N_kxk&amp;index=92&amp;t=0s ,"
4.2.4_Penetration Pricing,"https://youtu.be/zmx6Zz3g_jE ,https://www.youtube.com/watch?v=t4Qom0cAK1E&amp;list=PLp8BSCLLWBUCTDvRtruUQE7Auli3N_kxk&amp;index=92 ,"
4.2.5_Price Discrimination,"https://youtu.be/vh3ArC4kqjg ,"
4.2.6_Premium Pricing,"https://youtu.be/UaxgENsHbIY ,"
4.2.7_Psychological Pricing,"https://youtu.be/5JJoWrdjXwE ,"
4.2.8_Dynamic Pricing,"https://youtu.be/xaHsC727emc ,https://www.youtube.com/watch?v=NM8yJsBgBJ8&amp;list=PLp8BSCLLWBUCTDvRtruUQE7Auli3N_kxk&amp;index=93 ,"
4.2.9_Target Pricing,"https://youtu.be/V6NlVZs3ELo ,"
4.2.10_Marginal-Cost Pricing,"https://youtu.be/JJxp1HdkZI0 ,"
4.2.11_Pricing Absorption,"https://youtu.be/GW12zkqfyHM ,"
4.2.12_Value-Based Pricing,"https://youtu.be/3Hq4dEEVYL8 ,"
4.2.13_Odd Pricing,"https://youtu.be/JZMRnMu2jOs ,"
4.2.14_Mark-Up Pricing,"https://youtu.be/bmvA20ZqTdQ ,"
4.2.15_Target Return Pricing,"https://youtu.be/_FJedOJWH94 ,"
4.2.16_Going-Rate Pricing,"https://youtu.be/gvY1O9TIbKE ,"
4.3.1_Price changes dealing with new forces arising within the organization,"https://youtu.be/7wnQ59R8rKs ,"
4.3.2_Price changes dealing with new forces arising the market,"https://youtu.be/agyibe6OJBM ,"
Module IV_Case Study: Rubber Ducky Pools Pricing,"https://youtu.be/tKXlrm5KsB4 ,"
5.1.1_Meaning and importance of Marketing Channels,"https://youtu.be/AxheHnTuU_E ,https://www.youtube.com/watch?v=vCfyBGnO6xs ,"
5.1.2_ Channel functions and its flows in marketing channels,"https://youtu.be/iVOKFwmHE5g ,https://www.youtube.com/watch?v=csnvn0sicQs ,"
5.1.3_Channel Design and Management Decisions,"https://youtu.be/CDAb3W5ganU ,https://www.youtube.com/watch?v=g-M5CFMV5Fc ,"
5.2.1_Vertical Marketing System ,"https://youtu.be/UDEGY4CpxLU ,"
5.2.2_Types and Benefits of vertical marketing system,"https://youtu.be/tZd3Z1PoxQU ,https://www.youtube.com/watch?v=rT3lp9yD330 ,"
5.2.3_Horizontal Marketing System,"https://youtu.be/rY_DXWYI5X8 ,https://www.youtube.com/watch?v=yIQQ-jmu1F4 ,"
5.2.4_Types and Benefits of Horizontal marketing system,"https://youtu.be/mwR6LIHbXBg ,https://www.youtube.com/watch?v=MZsz6ndSk-8 ,"
5.2.5_Multi-channel marketing systems ,"https://youtu.be/xMQcODRsNbo ,"
5.2.6_Types and Benefits of Multi-channel distribution systems,"https://youtu.be/nyaHNz2xGk8 ,https://www.youtube.com/watch?v=kKLHEnuS__0 ,"
"5.3.1_Introduction to Wholesaling, Retailing and Logistics","https://youtu.be/JJT3EyD7WaY ,https://www.youtube.com/watch?v=JzLoo8cFJBI ,"
5.3.2_Retailing and Types of Retailers,"https://youtu.be/fpsB-Q4ZhFw ,"
5.3.3_Wholeseller v/s Retailer,"https://youtu.be/4NDGFQAO68I ,"
5.3.4_Market Logistics,"https://youtu.be/DMMpksuwzuA ,"
5.3.5_ Developing Supply Chain as a Competitive Factor,"https://youtu.be/ot12EahHdH4 ,"
5.3.6_Managing the International Supply Chain Operations,"https://youtu.be/AkBpby04s-o ,"
5.3.7_Future Trends in Logistics and SCM,"https://youtu.be/t5xOdc8sSyE ,"
5.4.1_Integrated Marketing Communication,"https://youtu.be/DfhjEklAr6M ,https://www.youtube.com/watch?v=iOFlrrr6YPY ,"
5.4.2_IMC Tools,"https://youtu.be/MpSRTu8zqx0 ,"
5.4.3_Marketing Communication Process,"https://youtu.be/idxmg2UNTCk ,"
Module V_Rubber Ducky Pools Case Study,"https://youtu.be/U2FF10ThFBE ,"
